hotel,is_canceled,lead_time,arrival_date_year,arrival_date_month,arrival_date_week_number,arrival_date_day_of_month,stays_in_weekend_nights,stays_in_week_nights,adults,children,babies,meal,country,market_segment,distribution_channel,is_repeated_guest,previous_cancellations,previous_bookings_not_canceled,reserved_room_type,assigned_room_type,booking_changes,deposit_type,agent,company,days_in_waiting_list,customer_type,adr,required_car_parking_spaces,total_of_special_requests,reservation_status,reservation_status_date,arrival_date
City Hotel,1,130.0,2015,July,31,31,4.0,6.0,1,0.0,0.0,BB,,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,8,207,0,Transient,68.0,0,0,No-Show,2015-07-31,2015-07-31
City Hotel,0,3.0,2015,August,33,9,2.0,3.0,1,0.0,0.0,BB,,Direct,Direct,0,0,0,A,A,0,No Deposit,14,207,0,Transient,67.0,0,0,Check-Out,2015-08-14,2015-08-09
City Hotel,1,210.0,2017,June,25,19,1.0,3.0,2,0.0,0.0,BB,,Offline TA/TO,TA/TO,0,0,0,A,A,0,Non Refund,154,207,0,Transient,130.0,0,0,Canceled,2017-01-24,2017-06-19
Resort Hotel,1,200.0,2017,May,21,27,2.0,5.0,2,0.0,0.0,BB,,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240,207,0,Transient,92.14,0,1,Canceled,2016-12-20,2017-05-27
Resort Hotel,1,16.0,2016,July,28,6,0.0,1.0,1,0.0,0.0,BB,,Corporate,Corporate,0,0,0,A,A,0,No Deposit,14,331,0,Transient,211.89000000000001,0,0,Canceled,2016-06-21,2016-07-06
City Hotel,0,65.0,2015,September,39,25,2.0,3.0,1,0.0,0.0,BB,,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,7,207,0,Transient,130.9,0,2,Check-Out,2015-09-30,2015-09-25
City Hotel,0,41.0,2015,November,45,1,2.0,3.0,2,1.0,0.0,BB,,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,28,207,0,Transient,75.0,0,2,Check-Out,2015-11-06,2015-11-01
City Hotel,0,385.875,2016,September,40,26,1.0,2.0,2,0.0,0.0,HB,,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,132,207,223,Transient-Party,107.0,0,0,Check-Out,2016-09-29,2016-09-26
City Hotel,0,42.0,2017,June,24,12,1.0,3.0,2,0.0,0.0,BB,,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,8,207,0,Transient,140.0,0,1,Check-Out,2017-06-16,2017-06-12
City Hotel,1,169.0,2016,April,17,22,2.0,2.0,2,0.0,0.0,HB,,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,2,207,48,Transient-Party,106.0,0,0,Canceled,2016-02-24,2016-04-22
City Hotel,0,59.0,2017,April,14,5,0.0,2.0,2,0.0,0.0,BB,,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,207,0,Transient,117.0,0,0,Check-Out,2017-04-07,2017-04-05
City Hotel,0,129.0,2016,August,35,25,0.0,2.0,3,0.0,0.0,BB,,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9,207,0,Transient,128.7,0,0,Check-Out,2016-08-27,2016-08-25
City Hotel,0,116.0,2016,May,19,4,0.0,4.0,2,0.0,0.0,BB,,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,85,207,0,Transient,76.0,0,1,Check-Out,2016-05-08,2016-05-04
City Hotel,0,385.875,2016,October,44,23,2.0,0.0,2,0.0,0.0,HB,,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,6,207,0,Transient-Party,115.0,0,1,Check-Out,2016-10-25,2016-10-23
City Hotel,1,224.0,2017,May,20,14,1.0,0.0,2,0.0,0.0,SC,,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,207,0,Transient,107.1,0,1,Canceled,2017-05-09,2017-05-14
City Hotel,0,0.0,2015,December,53,28,1.0,0.0,2,0.0,0.0,BB,,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,7,207,0,Transient,74.69,0,1,Check-Out,2015-12-29,2015-12-28
City Hotel,0,1.0,2017,January,3,19,0.0,1.0,2,0.0,0.0,SC,,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,207,0,Transient,88.0,0,0,Check-Out,2017-01-20,2017-01-19
City Hotel,0,10.0,2016,September,38,12,1.0,0.0,1,0.0,0.0,SC,,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,7,207,0,Transient,87.01,0,1,Check-Out,2016-09-13,2016-09-12
Resort Hotel,0,2.0,2017,May,21,21,2.0,1.0,2,0.0,0.0,BB,,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240,207,0,Transient,72.0,0,1,Check-Out,2017-05-24,2017-05-21
City Hotel,0,189.0,2017,August,35,27,2.0,0.0,2,0.0,0.0,BB,,Online TA,TA/TO,0,0,1,A,A,1,No Deposit,9,207,0,Transient-Party,119.0,0,3,Check-Out,2017-08-29,2017-08-27
City Hotel,0,4.0,2017,June,24,15,0.0,1.0,4,0.0,0.0,BB,,Direct,Direct,0,0,0,D,D,1,No Deposit,14,207,0,Transient,211.89000000000001,0,0,Check-Out,2017-06-16,2017-06-15
City Hotel,0,69.0,2016,April,15,4,1.0,3.0,2,0.0,0.0,SC,,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,207,0,Transient,80.75,0,1,Check-Out,2016-04-08,2016-04-04
Resort Hotel,0,89.0,2016,October,45,30,2.0,3.0,2,2.0,0.0,HB,,Direct,Direct,0,0,0,G,G,1,No Deposit,250,207,0,Transient,128.7,0,0,Check-Out,2016-11-04,2016-10-30
Resort Hotel,0,13.0,2015,August,34,18,0.0,1.0,2,0.0,0.0,BB,,Direct,Direct,0,0,0,A,A,0,No Deposit,250,207,0,Transient,172.0,0,0,Check-Out,2015-08-19,2015-08-18
City Hotel,0,141.0,2017,August,35,29,0.0,4.0,2,0.0,0.0,BB,,Direct,Direct,0,0,0,A,A,4,No Deposit,14,207,0,Transient,138.75,0,1,Check-Out,2017-09-02,2017-06-08
Resort Hotel,0,5.0,2016,September,40,27,0.0,2.0,1,0.0,0.0,BB,,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240,207,0,Transient,106.0,0,2,Check-Out,2016-09-29,2016-09-27
City Hotel,0,122.0,2015,July,31,29,0.0,3.0,2,0.0,1.0,BB,,Online TA,TA/TO,0,0,0,A,A,1,No Deposit,9,207,0,Transient-Party,76.5,0,1,Check-Out,2015-08-01,2015-07-29
City Hotel,1,136.0,2015,July,29,17,1.0,2.0,2,0.0,0.0,BB,,Groups,TA/TO,0,1,0,A,A,0,No Deposit,1,207,0,Transient,60.0,0,0,Canceled,2015-05-29,2015-07-17
City Hotel,0,256.0,2016,October,42,14,2.0,3.0,3,0.0,0.0,BB,,Online TA,TA/TO,0,0,0,D,D,1,No Deposit,9,207,0,Transient,133.11,0,2,Check-Out,2016-10-19,2016-10-14
Resort Hotel,0,224.0,2016,May,22,25,1.0,4.0,1,0.0,0.0,BB,,Groups,Direct,0,0,0,A,A,5,No Deposit,14,223,0,Transient-Party,40.0,0,0,Check-Out,2016-05-30,2016-05-25
City Hotel,1,123.0,2017,July,31,30,2.0,1.0,2,0.0,0.0,BB,,Online TA,TA/TO,0,0,0,D,D,2,No Deposit,9,207,0,Transient,155.0,0,1,Canceled,2017-06-30,2017-07-30
City Hotel,0,9.0,2017,August,5,1,0.0,1.0,1,0.0,0.0,BB,,Corporate,Corporate,1,0,1,D,D,1,No Deposit,14,174,0,Transient,95.0,0,0,Check-Out,2017-02-02,2017-06-08
Resort Hotel,0,2.0,2017,March,9,1,0.0,1.0,1,0.0,0.0,BB,,Direct,Direct,1,0,5,A,D,0,No Deposit,14,207,0,Transient,34.2,0,2,Check-Out,2017-03-02,2017-03-01
Resort Hotel,0,108.0,2015,August,32,3,2.0,5.0,3,0.0,0.0,BB,,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,15,207,0,Transient,166.05,0,2,Check-Out,2015-08-10,2015-08-03
City Hotel,0,137.0,2016,August,36,30,0.0,2.0,3,2.0,0.0,BB,,Online TA,TA/TO,0,0,0,B,B,3,No Deposit,9,207,0,Transient-Party,93.7,0,1,Check-Out,2016-09-01,2016-08-30
City Hotel,0,131.0,2017,July,27,7,0.0,1.0,2,0.0,0.0,BB,,Online TA,TA/TO,0,0,0,A,D,0,No Deposit,9,207,0,Transient,107.1,0,0,Check-Out,2017-07-08,2017-07-07
City Hotel,1,213.0,2016,June,24,7,0.0,3.0,2,0.0,0.0,BB,,Offline TA/TO,TA/TO,0,0,0,A,A,0,Non Refund,14,207,62,Transient,130.0,0,0,Canceled,2016-01-08,2016-06-07
City Hotel,0,42.0,2017,March,9,2,2.0,4.0,2,0.0,0.0,BB,,Online TA,TA/TO,0,0,0,D,A,0,No Deposit,9,207,0,Transient,100.3,0,0,Check-Out,2017-03-08,2017-03-02
City Hotel,0,256.0,2016,June,25,15,0.0,2.0,2,0.0,0.0,HB,,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,6,207,0,Transient-Party,115.0,0,1,Check-Out,2016-06-17,2016-06-15
City Hotel,1,32.0,2017,August,33,14,1.0,2.0,1,0.0,0.0,SC,,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,207,0,Transient,160.0,0,1,Canceled,2017-07-15,2017-08-14
City Hotel,0,108.0,2017,July,30,24,1.0,1.0,3,0.0,0.0,BB,,Online TA,TA/TO,0,0,0,D,D,3,No Deposit,14,207,0,Transient,127.1,0,0,Check-Out,2017-07-26,2017-07-24
City Hotel,1,322.0,2016,May,21,19,1.0,3.0,2,0.0,0.0,BB,,Offline TA/TO,TA/TO,0,0,0,A,A,0,Non Refund,31,207,120,Transient,80.0,0,0,Canceled,2016-02-10,2016-05-19
City Hotel,1,203.0,2016,June,23,2,0.0,3.0,2,0.0,0.0,BB,,Groups,TA/TO,0,1,0,A,A,0,Non Refund,1,207,41,Transient,65.0,0,0,Canceled,2015-12-23,2016-06-02
Resort Hotel,0,9.0,2017,February,8,23,2.0,5.0,2,0.0,0.0,BB,,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,240,207,0,Transient,74.86,0,2,Check-Out,2017-03-02,2017-02-23
City Hotel,1,21.0,2016,March,10,4,0.0,1.0,1,0.0,0.0,BB,,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,207,0,Transient-Party,85.0,0,0,Canceled,2016-02-26,2016-03-04
City Hotel,1,301.0,2015,August,33,14,0.0,2.0,2,0.0,0.0,HB,,Offline TA/TO,TA/TO,0,1,0,A,A,0,Non Refund,6,207,0,Transient-Party,101.5,0,0,Canceled,2015-07-06,2015-08-14
City Hotel,1,9.0,2017,January,1,5,5.0,6.0,1,0.0,0.0,BB,,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9,207,0,Transient,94.88,0,0,Canceled,2016-12-30,2017-01-05
Resort Hotel,0,206.0,2017,August,35,31,2.0,4.0,3,0.0,0.0,BB,,Direct,Direct,0,0,0,D,D,0,No Deposit,250,207,0,Transient,209.67,1,1,Check-Out,2017-09-06,2017-08-31
City Hotel,0,151.0,2016,January,4,19,0.0,2.0,1,0.0,0.0,BB,,Offline TA/TO,TA/TO,0,0,0,A,A,2,No Deposit,19,207,63,Transient-Party,71.0,0,0,Check-Out,2016-01-21,2016-01-19
Resort Hotel,0,7.0,2016,December,51,13,0.0,1.0,1,0.0,0.0,BB,,Corporate,Corporate,0,0,6,A,D,0,No Deposit,14,457,0,Transient,35.0,0,0,Check-Out,2016-12-14,2016-12-13
Resort Hotel,1,29.0,2017,May,19,9,1.0,5.0,2,2.0,0.0,BB,,Online TA,TA/TO,0,0,0,G,G,0,No Deposit,240,207,0,Transient,169.0,0,0,Canceled,2017-04-13,2017-05-09
City Hotel,1,262.0,2015,August,46,9,1.0,2.0,2,0.0,0.0,BB,,Groups,TA/TO,0,1,0,A,A,0,Non Refund,1,207,0,Transient,62.8,0,0,Canceled,2015-09-04,2017-06-08
City Hotel,1,72.0,2015,November,46,13,0.0,2.0,2,0.0,0.0,BB,,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,207,0,Contract,72.25,0,1,Canceled,2015-10-28,2015-11-13
Resort Hotel,0,40.0,2017,January,3,16,1.0,2.0,1,0.0,0.0,Undefined,,Groups,Direct,0,0,0,A,D,1,No Deposit,14,207,0,Transient-Party,55.0,0,0,Check-Out,2017-01-19,2017-01-16
Resort Hotel,0,5.0,2017,June,26,30,0.0,2.0,2,0.0,0.0,BB,,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,240,207,0,Transient,194.0,1,1,Check-Out,2017-07-02,2017-06-30
City Hotel,0,189.0,2016,August,34,15,1.0,4.0,2,0.0,0.0,HB,,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,22,207,0,Transient-Party,97.75,0,1,Check-Out,2016-08-20,2016-08-15
Resort Hotel,0,38.0,2016,January,2,3,2.0,2.0,2,0.0,0.0,BB,,Offline TA/TO,TA/TO,0,0,0,A,D,0,No Deposit,6,207,0,Transient,28.0,0,0,Check-Out,2016-01-07,2016-01-03
Resort Hotel,0,41.0,2016,May,21,16,1.0,3.0,3,0.0,0.0,BB,,Online TA,TA/TO,0,0,0,D,A,1,No Deposit,240,207,0,Transient,125.0,0,0,Check-Out,2016-05-20,2016-05-16
City Hotel,0,112.0,2016,September,38,15,0.0,3.0,2,0.0,0.0,BB,,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,7,207,0,Transient,94.81,0,1,Check-Out,2016-09-18,2016-09-15
Resort Hotel,0,3.0,2016,January,5,25,1.0,2.0,1,0.0,0.0,BB,,Corporate,Corporate,0,0,0,A,D,0,No Deposit,14,207,0,Transient,33.0,1,0,Check-Out,2016-01-28,2016-01-25
City Hotel,0,48.0,2017,February,8,22,0.0,2.0,1,0.0,0.0,BB,,Groups,TA/TO,0,0,0,A,A,0,No Deposit,14,207,0,Transient-Party,65.0,0,1,Check-Out,2017-02-24,2017-02-22
Resort Hotel,0,131.0,2016,September,39,19,1.0,5.0,2,0.0,0.0,HB,,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,14,207,0,Transient,152.0,1,1,Check-Out,2016-09-25,2016-09-19
City Hotel,0,0.0,2016,January,2,7,0.0,1.0,1,0.0,0.0,BB,,Offline TA/TO,TA/TO,0,0,0,A,D,0,No Deposit,94,207,0,Transient,45.0,0,0,Check-Out,2016-01-08,2016-01-07
Resort Hotel,0,140.0,2016,June,24,9,2.0,5.0,2,0.0,0.0,HB,,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,241,207,0,Transient,93.06,0,1,Check-Out,2016-06-16,2016-06-09
Resort Hotel,0,223.0,2016,May,22,24,1.0,5.0,1,0.0,0.0,BB,,Groups,Direct,0,0,0,A,A,1,No Deposit,14,223,0,Transient-Party,60.0,0,0,Check-Out,2016-05-30,2016-05-24
City Hotel,0,47.0,2017,March,9,3,1.0,2.0,2,0.0,0.0,BB,,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,14,207,0,Transient,108.0,0,1,Check-Out,2017-03-06,2017-03-03
City Hotel,0,112.0,2016,May,19,1,2.0,2.0,3,0.0,0.0,BB,,Direct,Direct,0,0,0,A,A,0,No Deposit,14,207,0,Transient,89.25,0,0,Check-Out,2016-05-05,2016-05-01
Resort Hotel,0,189.0,2015,August,36,31,2.0,5.0,2,0.0,0.0,HB,,Offline TA/TO,TA/TO,0,0,0,E,E,0,No Deposit,40,207,0,Transient,104.98,0,0,Check-Out,2015-09-07,2015-08-31
City Hotel,0,38.0,2015,October,43,20,0.0,1.0,2,2.0,0.0,BB,,Online TA,TA/TO,0,0,0,F,F,0,No Deposit,9,207,0,Transient,179.3,0,4,Check-Out,2015-10-21,2015-10-20
Resort Hotel,0,48.0,2016,July,31,24,2.0,0.0,2,0.0,0.0,HB,,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,240,207,0,Transient,211.89000000000001,0,1,Check-Out,2016-07-26,2016-07-24
City Hotel,0,12.0,2015,August,32,5,0.0,3.0,3,0.0,0.0,BB,,Corporate,Corporate,0,0,0,A,D,0,No Deposit,14,38,0,Transient-Party,90.0,0,0,Check-Out,2015-08-08,2015-08-05
City Hotel,0,0.0,2016,April,16,15,1.0,2.0,2,0.0,0.0,BB,,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,207,0,Transient,101.0,0,1,Check-Out,2016-04-18,2016-04-15
City Hotel,1,82.0,2017,May,20,19,1.0,2.0,2,1.0,0.0,BB,,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,207,0,Transient,162.0,0,0,Canceled,2017-02-26,2017-05-19
City Hotel,0,18.0,2017,July,27,6,1.0,3.0,1,1.0,0.0,BB,,Online TA,TA/TO,0,0,0,A,A,1,No Deposit,9,207,0,Transient-Party,160.0,0,2,Check-Out,2017-07-10,2017-07-06
City Hotel,1,99.0,2016,February,8,19,0.0,1.0,2,0.0,0.0,BB,,Corporate,Corporate,0,1,0,A,A,0,No Deposit,14,67,0,Transient-Party,80.0,0,0,Canceled,2015-12-22,2016-02-19
City Hotel,0,186.0,2017,May,21,24,0.0,3.0,2,0.0,0.0,BB,,Online TA,TA/TO,0,0,0,D,D,2,No Deposit,9,207,0,Transient,144.37,0,2,Check-Out,2017-05-27,2017-05-24
Resort Hotel,1,6.0,2015,December,50,6,2.0,0.0,2,0.0,0.0,BB,,Online TA,TA/TO,0,1,0,D,D,0,No Deposit,240,207,0,Transient,54.4,0,0,Canceled,2015-12-01,2015-12-06
Resort Hotel,0,169.0,2016,March,14,31,1.0,3.0,2,0.0,0.0,BB,,Groups,Direct,0,0,0,A,A,0,Refundable,14,223,0,Transient-Party,66.0,0,0,Check-Out,2016-04-04,2016-03-31
Resort Hotel,0,364.0,2016,October,42,12,1.0,4.0,2,0.0,0.0,BB,,Groups,Corporate,0,0,0,A,A,1,No Deposit,14,223,0,Transient-Party,66.0,0,0,Check-Out,2016-10-17,2016-10-12
City Hotel,0,13.0,2017,May,20,16,2.0,5.0,2,0.0,0.0,BB,,Online TA,TA/TO,0,0,0,F,F,0,No Deposit,7,207,0,Transient,194.34,0,2,Check-Out,2017-05-23,2017-05-16
Resort Hotel,0,6.0,2016,August,34,18,0.0,2.0,2,0.0,0.0,BB,,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,242,207,0,Transient,189.0,0,1,Check-Out,2016-08-20,2016-08-18
City Hotel,1,105.0,2017,May,20,19,0.0,2.0,1,0.0,0.0,BB,,Offline TA/TO,TA/TO,0,0,0,A,A,0,Non Refund,14,207,0,Transient,160.0,0,0,Canceled,2017-02-03,2017-05-19
Resort Hotel,0,0.0,2016,November,49,29,0.0,1.0,1,0.0,0.0,BB,,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240,207,0,Transient-Party,43.0,0,0,Check-Out,2016-11-30,2016-11-29
City Hotel,0,161.0,2017,April,17,28,1.0,2.0,3,0.0,0.0,BB,,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9,207,0,Transient,166.5,0,0,Check-Out,2017-05-01,2017-04-28
City Hotel,1,68.0,2015,September,40,29,0.0,2.0,2,0.0,0.0,HB,,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,20,207,0,Transient-Party,0.0,0,0,Canceled,2015-09-24,2015-09-29
City Hotel,1,178.0,2017,May,20,19,0.0,2.0,2,1.0,0.0,BB,,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,207,0,Transient,165.38,0,0,Canceled,2017-05-03,2017-05-19
City Hotel,0,68.0,2017,April,14,5,0.0,2.0,2,0.0,0.0,BB,,Offline TA/TO,TA/TO,0,0,0,A,A,2,No Deposit,14,418,0,Transient-Party,110.0,0,0,Check-Out,2017-04-07,2017-04-05
City Hotel,1,148.0,2015,December,53,31,1.0,3.0,2,0.0,0.0,BB,,Groups,TA/TO,0,0,0,A,A,0,Non Refund,1,207,98,Transient,77.5,0,0,Canceled,2015-11-11,2015-12-31
City Hotel,1,100.0,2015,October,44,31,1.0,1.0,2,0.0,0.0,BB,,Groups,TA/TO,0,0,0,A,A,0,No Deposit,1,207,0,Transient-Party,62.0,0,0,Canceled,2015-10-19,2015-10-31
City Hotel,1,75.0,2017,August,7,18,2.0,1.0,2,1.0,0.0,BB,,Online TA,TA/TO,0,0,0,A,A,2,No Deposit,9,207,0,Transient,111.6,0,0,Canceled,2017-01-28,2017-06-08
City Hotel,0,203.0,2016,October,41,6,2.0,3.0,2,0.0,0.0,HB,,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,207,0,Transient,135.15,0,3,Check-Out,2016-10-11,2016-10-06
Resort Hotel,0,128.0,2016,December,49,3,0.0,1.0,2,0.0,0.0,HB,,Groups,Direct,0,0,0,A,A,0,No Deposit,14,207,0,Transient-Party,64.0,0,1,Check-Out,2016-12-04,2016-12-03
City Hotel,0,3.0,2017,January,4,22,2.0,1.0,2,0.0,0.0,BB,,Offline TA/TO,TA/TO,0,0,0,A,D,0,No Deposit,28,207,0,Transient,75.0,0,0,Check-Out,2017-01-25,2017-01-22
City Hotel,0,0.0,2016,October,43,17,1.0,0.0,1,0.0,0.0,BB,,Corporate,Corporate,0,0,0,A,D,0,No Deposit,14,62,0,Transient,95.0,0,0,Check-Out,2016-10-18,2016-10-17
City Hotel,1,4.0,2016,March,13,21,1.0,1.0,2,1.0,0.0,BB,,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,207,0,Transient,119.0,0,0,Canceled,2016-03-18,2016-03-21
City Hotel,0,316.0,2016,May,22,26,0.0,3.0,2,0.0,0.0,BB,,Groups,TA/TO,0,0,0,A,A,0,No Deposit,14,207,0,Transient-Party,110.0,0,0,Check-Out,2016-05-29,2016-05-26
City Hotel,0,7.0,2017,February,9,26,2.0,4.0,2,0.0,0.0,BB,,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,7,207,0,Transient,69.77,0,0,Check-Out,2017-03-04,2017-02-26
City Hotel,0,32.0,2016,August,35,23,0.0,3.0,2,2.0,0.0,BB,,Direct,Direct,0,0,0,E,E,2,No Deposit,14,207,0,Transient,182.95,1,2,Check-Out,2016-08-26,2016-08-23
City Hotel,1,1.0,2015,August,32,4,0.0,2.0,1,0.0,0.0,BB,,Corporate,Corporate,0,0,0,A,A,0,No Deposit,14,40,0,Group,65.0,0,0,Canceled,2015-08-03,2015-08-04
Resort Hotel,0,7.0,2016,September,38,13,0.0,2.0,1,0.0,0.0,BB,,Corporate,Corporate,0,0,2,A,E,0,No Deposit,94,207,0,Transient,66.0,0,0,Check-Out,2016-09-15,2016-09-13
City Hotel,0,166.0,2017,June,25,22,0.0,3.0,2,0.0,0.0,BB,,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9,207,0,Transient,130.5,0,0,Check-Out,2017-06-25,2017-06-22
Resort Hotel,0,6.0,2016,February,8,17,0.0,3.0,2,0.0,0.0,BB,,Online TA,TA/TO,0,0,0,A,D,0,No Deposit,240,207,0,Transient,54.0,1,0,Check-Out,2016-02-20,2016-02-17
City Hotel,0,100.0,2016,September,40,28,0.0,4.0,2,0.0,0.0,HB,,Offline TA/TO,TA/TO,0,0,0,A,B,0,No Deposit,26,207,0,Transient-Party,140.0,0,1,Check-Out,2016-10-02,2016-09-28
City Hotel,0,9.0,2017,January,2,13,2.0,2.0,2,0.0,0.0,SC,,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,207,0,Transient,86.0,1,0,Check-Out,2017-01-17,2017-01-13
Resort Hotel,0,5.0,2016,February,9,27,1.0,1.0,2,0.0,0.0,BB,,Online TA,TA/TO,0,0,0,A,F,0,No Deposit,240,207,0,Transient,53.0,0,1,Check-Out,2016-02-29,2016-02-27
Resort Hotel,0,166.0,2017,April,15,10,3.0,6.0,2,0.0,0.0,BB,,Direct,Direct,1,0,1,E,E,0,No Deposit,14,207,0,Transient,62.1,0,4,Check-Out,2017-04-23,2017-04-10
City Hotel,0,75.0,2016,February,8,20,2.0,2.0,2,0.0,0.0,BB,,Offline TA/TO,TA/TO,0,0,0,A,D,0,No Deposit,28,207,0,Transient,60.0,0,0,Check-Out,2016-02-24,2016-02-20
City Hotel,1,12.0,2016,January,5,26,5.0,6.0,2,0.0,0.0,SC,,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,207,0,Transient,76.55,0,0,Canceled,2016-01-20,2016-01-26
City Hotel,0,3.0,2016,June,27,28,0.0,2.0,1,0.0,0.0,BB,,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,207,0,Transient,130.0,0,1,Check-Out,2016-06-30,2016-06-28
City Hotel,1,148.0,2015,December,53,30,1.0,4.0,2,0.0,0.0,BB,,Offline TA/TO,TA/TO,0,0,0,A,A,0,Non Refund,21,207,79,Transient,67.0,0,0,Canceled,2015-11-11,2015-12-30
